year,month,day,MPShock,TRMShock,MP_pm,CBI_pm,MP_median,CBI_median
2008,1,1,-0.097,-0.022076442,-0,-0.097,0.1556962,-0.2526962
2008,2,1,0.114,-0.009892765,0.114,0,0.1485032,-0.0345032
2008,3,1,-0.09,0.000159213,-0.09,-0,-0.04647264,-0.04352736
2008,4,1,-0.082,0.005603711,-0.082,-0,-0.09283156,0.01083156
2008,5,1,-0.078,-0.000843298,-0,-0.078,-0.03119991,-0.04680009
2008,6,1,-0.078,0.015856337,-0.078,-0,-0.1856633,0.1076633
2008,7,1,0.166,0.007263723,0,0.166,0.01581414,0.15018586
2008,8,1,-0.081,0.014961725,-0.081,-0,-0.17888858,0.09788858
2008,9,1,-0.07,-0.034087915,-0,-0.07,0.28029641,-0.35029641
2008,10,1,-0.081,0.016907406,-0.081,-0,-0.19688517,0.11588517
2008,11,1,-0.057,0.005760049,-0.057,-0,-0.08177761,0.02477761
2008,12,1,-0.295,-0.002999166,-0,-0.295,-0.11975919,-0.17524081
2009,1,1,-0.448,0.03325834,-0.448,-0,-0.53162325,0.08362325
2009,2,1,-1.074,-0.00764319,-0,-1.074,-0.46630426,-0.60769574
2009,3,1,-1.007,-0.017917575,-0,-1.007,-0.33777127,-0.66922873
2009,4,1,-1.022,-0.018970037,-0,-1.022,-0.33553651,-0.68646349
2009,5,1,-1.005,-0.031375934,-0,-1.005,-0.21228808,-0.79271192
2009,6,1,-0.525,0.017662901,-0.525,-0,-0.42587313,-0.09912687
2009,7,1,-0.002,-0.002504336,-0,-0.002,0.02216387,-0.02416387
2009,8,1,0.161,-0.004799276,0.161,0,0.12489094,0.03610906
2009,9,1,-0.419,0.007779626,-0.419,-0,-0.2814577,-0.1375423
2009,10,1,-0.022,0.007464064,-0.022,-0,-0.08003891,0.05803891
2009,11,1,-0.498,0.001318989,-0.498,-0,-0.2612,-0.2368
2009,12,1,0.207,0.010300418,0,0.207,0.00822621,0.19877379
2010,1,1,0.207,-0.002901517,0.207,0,0.1303376,0.0766624
2010,2,1,0.112,8.7981e-05,0,0.112,0.05518622,0.05681378
2010,3,1,0.076,0.005180459,0,0.076,-0.00991669,0.08591669
2010,4,1,-0.518,-0.011525581,-0,-0.518,-0.15239406,-0.36560594
2010,5,1,-0.048,-0.011480521,-0,-0.048,0.08218916,-0.13018916
2010,6,1,-0.048,-0.002974681,-0,-0.048,0.00351433,-0.05151433
2010,7,1,-0.055,0.000214216,-0.055,-0,-0.02948139,-0.02551861
2010,8,1,-0.043,0.007048667,-0.043,-0,-0.08669669,0.04369669
2010,9,1,-0.062,0,-0,-0.062,-0.031,-0.031
2010,10,1,-0.052,-0.008031473,-0,-0.052,0.04828717,-0.10028717
2010,11,1,-0.048,-0.000207935,-0,-0.048,-0.0220767,-0.0259233
2010,12,1,-0.067,0.009031211,-0.067,-0,-0.11703425,0.05003425
2011,1,1,-0.064,0.004894657,-0.064,-0,-0.07727316,0.01327316
2011,2,1,0.165,-0.001433904,0.165,0,0.09576291,0.06923709
2011,3,1,0.149,-0.009465459,0.149,0,0.16205083,-0.01305083
2011,4,1,0.05,-0.008963267,0.05,0,0.1079058,-0.0579058
2011,5,1,0.077,-0.006805452,0.077,0,0.10144708,-0.02444708
2011,6,1,0.118,0.003586242,0,0.118,0.02582903,0.09217097
2011,7,1,0.05,0.007299529,0,0.05,-0.04251704,0.09251704
2011,8,1,-0.16,0.006632214,-0.16,-0,-0.14134471,-0.01865529
2011,9,1,-0.075,0.011082381,-0.075,-0,-0.14000656,0.06500656
2011,10,1,-0.107,-0.00804033,-0,-0.107,0.02086909,-0.12786909
2011,11,1,0.111,0.008167812,0,0.111,-0.02004823,0.13104823
2011,12,1,-0.071,-0.001012073,-0,-0.071,-0.02613882,-0.04486118
2012,1,1,0.21,-0.00233362,0.21,0,0.12658483,0.08341517
2012,2,1,0.166,-0.004160773,0.166,0,0.1214851,0.0445149
2012,3,1,-0.008,0.001216531,-0.008,-0,-0.01525231,0.00725231
2012,4,1,-0.013,-0.002559048,-0,-0.013,0.01716993,-0.03016993
2012,5,1,-0.02,0.002306141,-0.02,-0,-0.03133067,0.01133067
2012,6,1,-0.047,-0.010462836,-0,-0.047,0.07327607,-0.12027607
2012,7,1,-0.361,-0.004656612,-0,-0.361,-0.13742863,-0.22357137
2012,8,1,-0.09,0.001075058,-0.09,-0,-0.05494376,-0.03505624
2012,9,1,0.144,0.000538878,0,0.144,0.06701564,0.07698436
2012,10,1,0.024,0.00325786,0,0.024,-0.0181336,0.0421336
2012,11,1,-0.231,0.002431284,-0.231,-0,-0.13798818,-0.09301182
2012,12,1,-0.082,-0.00597719,-0,-0.082,0.01428606,-0.09628606
2013,1,1,0.031,-0.003653286,0.031,0,0.04929109,-0.01829109
2013,2,1,-0.015,0.008527397,-0.015,-0,-0.08637422,0.07137422
2013,3,1,-0.265,0.007388424,-0.265,-0,-0.20083928,-0.06416072
2013,4,1,0.134,-0.001683699,0.134,0,0.08257339,0.05142661
2013,5,1,0.017,0.007170149,0,0.017,-0.05782034,0.07482034
2013,6,1,0.027,0.003708267,0,0.027,-0.02079964,0.04779964
2013,7,1,-0.004,-0.002520333,-0,-0.004,0.02131184,-0.02531184
2013,8,1,-0.016,-0.002281126,-0,-0.016,0.01309929,-0.02909929
2013,9,1,0.004,0.011150121,0,0.004,-0.10113312,0.10513312
2013,10,1,-0.001,-0.000424913,-0,-0.001,0.00343024,-0.00443024
2013,11,1,0.022,0.001880766,0,0.022,-0.00639616,0.02839616
2013,12,1,0.014,-0.004982582,0.014,0,0.05308643,-0.03908643
2014,1,1,-0.021,0.003931323,-0.021,-0,-0.0468628,0.0258628
2014,2,1,-0.005,-0.003102547,-0,-0.005,0.02619703,-0.03119703
2014,3,1,0.048,-0.011732197,0.048,0,0.13251704,-0.08451704
2014,4,1,0.255,0.002959528,0,0.255,0.10012583,0.15487417
2014,5,1,0.014,-0.005331331,0.014,0,0.05631218,-0.04231218
2014,6,1,-0.037,-0.006009837,-0,-0.037,0.03708803,-0.07408803
2014,7,1,0.106,0.013638828,0,0.106,-0.07315243,0.17915243
2014,8,1,0.121,-0.004316696,0.121,0,0.10042731,0.02057269
2014,9,1,0.005,0.008141198,0,0.005,-0.07280207,0.07780207
2014,10,1,0.001,-0.002391652,0.001,0,0.0226216,-0.0216216
2014,11,1,0.004,0.018777403,0,0.004,-0.17168172,0.17568172
2014,12,1,0.002,-0.049118883,0.002,0,0.45532545,-0.45332545
2015,1,1,0,0.03276224,0,0,-0.30303457,0.30303457
2015,2,1,0.002,0.010574788,0,0.002,-0.09681158,0.09881158
2015,3,1,-0.001,-0.024348431,-0,-0.001,0.22471098,-0.22571098
2015,4,1,-0.012,-0.011043273,-0,-0.012,0.09614483,-0.10814483
2015,5,1,-0.008,-0.001259096,-0,-0.008,0.00764602,-0.01564602
2015,6,1,-0.011,0.011355165,-0.011,-0,-0.11052968,0.09952968
2015,7,1,-0.034,0.002514941,-0.034,-0,-0.04026196,0.00626196
2015,8,1,-0.115,0.02460237,-0.115,-0,-0.28505979,0.17005979
2015,9,1,0.139,-0.006097383,0.139,0,0.12589779,0.01310221
2015,10,1,0.136,-0.009930411,0.136,0,0.15985141,-0.02385141
2015,11,1,-0.144,0.000435424,-0.144,-0,-0.07602746,-0.06797254
2015,12,1,-0.083,0.005998155,-0.083,-0,-0.09697998,0.01397998
2016,1,1,-0.085,-0.023842643,-0,-0.085,0.17803269,-0.26303269
2016,2,1,-0.083,-0.010399211,-0,-0.083,0.05468757,-0.13768757
2016,3,1,0.046,-0.028968432,0.046,0,0.29094371,-0.24494371
2016,4,1,0.203,-0.031788703,0.203,0,0.39552983,-0.19252983
2016,5,1,-0.044,0.002374794,-0.044,-0,-0.04396567,-3.433e-05
2016,6,1,-0.008,-0.009771872,-0,-0.008,0.086385,-0.094385
2016,7,1,0.079,0.002674133,0,0.079,0.01476559,0.06423441
2016,8,1,-0.092,0.010964567,-0.092,-0,-0.14741684,0.05541684
2016,9,1,0.001,-0.011746384,0.001,0,0.10914826,-0.10814826
2016,10,1,0.006,0.000836025,0,0.006,-0.00473282,0.01073282
2016,11,1,0.002,-0.00545089,0.002,0,0.05141805,-0.04941805
2016,12,1,-0.21,0.010949896,-0.21,-0,-0.20628114,-0.00371886
2017,1,1,0.168,0.000901378,0,0.168,0.0756627,0.0923373
2017,2,1,-0.149,-0.002432498,-0,-0.149,-0.05200059,-0.09699941
2017,3,1,0.1,-0.012637316,0.1,0,0.16688894,-0.06688894
2017,4,1,-0.037,0.006732588,-0.037,-0,-0.08077312,0.04377312
2017,5,1,0.099,0.002811597,0,0.099,0.02349411,0.07550589
2017,6,1,-0.009,0.008821161,-0.009,-0,-0.08609139,0.07709139
2017,7,1,0.073,-0.007831548,0.073,0,0.10893796,-0.03593796
2017,8,1,0.029,0.002628881,0,0.029,-0.00981585,0.03881585
2017,9,1,0.067,-0.00135776,0.067,0,0.04605861,0.02094139
2017,10,1,-0.189,0.00682089,-0.189,-0,-0.15758987,-0.03141013
2017,11,1,-0.051,-0.002127832,-0,-0.051,-0.0058186,-0.0451814
2017,12,1,0.026,-0.010177867,0.026,0,0.10714025,-0.08114025
2018,1,1,-0.128,0.021167558,-0.128,-0,-0.25978948,0.13178948
2018,2,1,0,0,0,0,0,0
2018,3,1,0.068,0.005049491,0,0.068,-0.0127053,0.0807053
2018,4,1,-0.006,-0.004979954,-0,-0.006,0.04306212,-0.04906212
2018,5,1,0,0,0,0,0,0
2018,6,1,-0.005,-0.001401365,-0,-0.005,0.01046194,-0.01546194
2018,7,1,0,-0.000711357,0,0,0.0065797,-0.0065797
2018,8,1,0,0,0,0,0,0
2018,9,1,0.001,-0.009363264,0.001,0,0.08710558,-0.08610558
2018,10,1,-0.002,0.011226708,-0.002,-0,-0.10484151,0.10284151
2018,11,1,0,0,0,0,0,0
2018,12,1,0,0.021160791,0,0,-0.19572688,0.19572688
2019,1,1,0,-0.013333063,0,0,0.12332426,-0.12332426
2019,2,1,0,0,0,0,0,0
2019,3,1,0.001,0.010870756,0,0.001,-0.10004913,0.10104913
2019,4,1,0,0.004521031,0,0,-0.04181731,0.04181731
2019,5,1,0,0,0,0,0,0
2019,6,1,0.004,-0.017931935,0.004,0,0.16786156,-0.16386156
2019,7,1,0.011,0.006257825,0,0.011,-0.0523818,0.0633818
2019,8,1,0,0,0,0,0,0
2019,9,1,-0.001,0.017624989,-0.001,-0,-0.16352246,0.16252246
2019,10,1,-0.003,0.000706663,-0.003,-0,-0.00803628,0.00503628
2019,11,1,0,0,0,0,0,0
2019,12,1,0,-0.00135528,0,0,0.01253567,-0.01253567
