year;month;day;MPShock;CDS shock
2008;1;1;-0.097;0
2008;2;1;0.114;0
2008;3;1;-0.09;16
2008;4;1;-0.082;0
2008;5;1;-0.078;0
2008;6;1;-0.078;0
2008;7;1;0.166;0
2008;8;1;-0.081;0
2008;9;1;-0.07;0
2008;10;1;-0.081;-28.5
2008;11;1;-0.057;-85.1435
2008;12;1;-0.295;-18.6065
2009;1;1;-0.448;32.6668
2009;2;1;-1.074;35.6667
2009;3;1;-1.007;-4
2009;4;1;-1.022;-6.1968
2009;5;1;-1.005;-20.5005
2009;6;1;-0.525;9
2009;7;1;-0.002;-18.44
2009;8;1;0.161;7
2009;9;1;-0.419;5.22
2009;10;1;-0.022;9.06
2009;11;1;-0.498;-4
2009;12;1;0.207;-4.72
2010;1;1;2.07E-01;-3
2010;2;1;0.112;-7.321
2010;3;1;0.076;5.5
2010;4;1;-5.18E-01;-0.0443
2010;5;1;-4.80E-02;-13.0221
2010;6;1;-0.048;-10.11
2010;7;1;-0.055;-4.04
2010;8;1;-0.043;0.95
2010;9;1;-6.20E-02;0
2010;10;1;-0.052;-0.04
2010;11;1;-0.048;3.46
2010;12;1;-6.70E-02;1.82
2011;1;1;-0.064;-7.304
2011;2;1;0.165;-3.564
2011;3;1;0.149;-0.385
2011;4;1;0.05;-2.05601
2011;5;1;0.077;-2.565
2011;6;1;0.118;2.391
2011;7;1;0.05;-0.563
2011;8;1;-0.16;5.441
2011;9;1;-0.075;16.448
2011;10;1;-0.107;3.05
2011;11;1;1.11E-01;-9.61
2011;12;1;-0.071;4.94
2012;1;1;0.21;-5.1
2012;2;1;0.166;1.41
2012;3;1;-0.008;-4.07
2012;4;1;-0.013;-2.09
2012;5;1;-2.00E-02;-4.57
2012;6;1;-0.047;-16
2012;7;1;-3.61E-01;-10
2012;8;1;-0.09;1
2012;9;1;1.44E-01;-0.491
2012;10;1;0.024;0.51
2012;11;1;-0.231;2.24501
2012;12;1;-0.082;2.49401
2013;1;1;3.10E-02;5.97
2013;2;1;-0.015;3.73301
2013;3;1;-0.265;1.70999
2013;4;1;0.134;-2.42401
2013;5;1;0.017;7.604
2013;6;1;0.027;2.64
2013;7;1;-0.004;4.63
2013;8;1;-0.016;5.74
2013;9;1;4.00E-03;7.58
2013;10;1;-0.001;-2.98
2013;11;1;2.20E-02;4.76
2013;12;1;0.014;4.48
2014;1;1;-0.021;4.6
2014;2;1;-0.005;3.37
2014;3;1;0.048;-2.63
2014;4;1;2.55E-01;1.15
2014;5;1;0.014;-0.40999
2014;6;1;-3.70E-02;2.74
2014;7;1;1.06E-01;2.27001
2014;8;1;0.121;0.01001
2014;9;1;0.005;6.91001
2014;10;1;0.001;-1.48
2014;11;1;0.004;5.92001
2014;12;1;2.00E-03;-20.29
2015;1;1;0;-6.9345
2015;2;1;2.00E-03;1.44
2015;3;1;-0.001;-1.19
2015;4;1;-0.012;2.46
2015;5;1;-0.008;0.5
2015;6;1;-0.011;5.97
2015;7;1;-0.034;9.5
2015;8;1;-0.115;20.29
2015;9;1;0.139;11.91
2015;10;1;1.36E-01;-7.43
2015;11;1;-1.44E-01;2.96
2015;12;1;-0.083;7.36
2016;1;1;-0.085;2.1499
2016;2;1;-0.083;-17.5501
2016;3;1;0.046;6.95
2016;4;1;0.203;4.43
2016;5;1;-0.044;-0.5
2016;6;1;-0.008;-5.79
2016;7;1;7.90E-02;1.46
2016;8;1;-0.092;3.4
2016;9;1;1.00E-03;-0.01
2016;10;1;0.006;3.88
2016;11;1;0.002;-3.2
2016;12;1;-0.21;-0.53
2017;1;1;0.168;2.44
2017;2;1;-1.49E-01;2.98
2017;3;1;0.1;-4.41
2017;4;1;-3.70E-02;-3.66
2017;5;1;0.099;-0.01
2017;6;1;-0.009;-1
2017;7;1;7.30E-02;-3.66
2017;8;1;0.029;-5.39
2017;9;1;6.70E-02;-5.12
2017;10;1;-0.189;-4.42
2017;11;1;-0.051;-2.2
2017;12;1;0.026;0.25
2018;1;1;-1.28E-01;2.47
2018;2;1;0;0
2018;3;1;6.80E-02;6.35001
2018;4;1;-0.006;0.73
2018;5;1;0;0
2018;6;1;-0.005;-0.49
2018;7;1;0;-0.98
2018;8;1;0;0
2018;9;1;1.00E-03;1.22
2018;10;1;-0.002;3.91
2018;11;1;0;0
2018;12;1;0;12.09
2019;1;1;0.00E+00;-3.2
2019;2;1;0;0
2019;3;1;0.001;2.31
2019;4;1;0;-1.29
2019;5;1;0;0
2019;6;1;0.004;3.77001
2019;7;1;0.011;1.63
2019;8;1;0;0
2019;9;1;-1.00E-03;4.45999
2019;10;1;-0.003;-1.07001
2019;11;1;0.00E+00;0
2019;12;1;0;-0.83001
